Country Name,Country Code,Region,Mean Salaries Male,Mean Salaries Female,Mean Unemployment Male,Mean Unemployment Female
French Polynesia,PYF,East Asia & Pacific,78.20378548758372,85.14735794067384,11.331285749162943,13.391892841884081
Qatar,QAT,Middle East & North Africa,98.94292804173061,99.74999999999999,0.6558214245097982,2.7941785667623793
Romania,ROU,Europe & Central Asia,66.11007131849017,62.947249821254175,7.287464244025094,6.29660713672638
Russian Federation,RUS,Europe & Central Asia,93.53774969918388,94.76574952261788,7.778999958719523,7.250107135091514
Rwanda,RWA,Sub-Saharan Africa,22.931464229311256,10.625285685062407,0.931750004845006,0.7034642845392229
Saudi Arabia,SAU,Middle East & North Africa,92.5047858101981,97.9020355769566,4.299714284283774,13.245428494044715
Sudan,SDN,Sub-Saharan Africa,51.670678683689665,50.48364312308174,12.561035701206746,22.189714431762688
Senegal,SEN,Sub-Saharan Africa,27.696785756519862,17.070071424756726,5.995321478162492,9.619857192039484
Singapore,SGP,East Asia & Pacific,81.58660643441338,90.86682156154086,3.799249989645822,4.318785752568926
Solomon Islands,SLB,East Asia & Pacific,19.828642777034226,13.187714338302616,2.4187142763819027,1.927750016961779
Sierra Leone,SLE,Sub-Saharan Africa,15.514178514480585,4.7230357101985385,4.777107170649937,2.7750357389450078
El Salvador,SLV,Latin America & Caribbean,62.92989253997802,49.78164277757917,7.288178477968487,4.5266071387699665
Somalia,SOM,Sub-Saharan Africa,20.853821345737998,9.767464365277975,14.291535752160211,16.207000119345526
Serbia,SRB,Europe & Central Asia,64.53507205418178,68.82571492876325,14.483321360179346,18.213821411132805
South Sudan,SSD,Sub-Saharan Africa,16.976607118334083,7.434107201439994,11.902214288711546,14.304500000817443
Sao Tome and Principe,STP,Sub-Saharan Africa,51.94435719081334,39.848750114440925,10.77628571646554,21.163000038691933
Suriname,SUR,Latin America & Caribbean,81.80471474783761,88.6288572038923,6.950964237962448,15.672999926975795
Slovak Republic,SVK,Europe & Central Asia,85.30439267839704,93.23417854309082,12.981678383690966,13.859249898365556
Slovenia,SVN,Europe & Central Asia,81.13232149396624,86.74342782156808,6.973785723958698,7.230107137135094
